Date,Main1,Main2,Main3,Main4,Main5,Add1,Add2
2023-11-07,26,36,43,47,49,4,7
2023-11-03,6,21,23,31,39,1,5
2023-10-31,6,15,21,34,48,1,5
2023-10-27,6,13,15,20,40,2,8
2023-10-24,5,14,35,40,47,1,3
2023-10-20,11,16,22,34,46,2,5
2023-10-17,6,8,42,49,50,3,5
2023-10-13,16,23,30,37,41,2,9
2023-10-10,7,8,12,21,43,4,11
2023-10-06,17,18,40,43,50,9,11
2023-10-03,13,28,29,31,47,8,9
2023-09-29,14,24,29,45,48,3,9
2023-09-26,23,24,38,42,44,1,10
2023-09-22,14,24,31,44,45,7,11
2023-09-19,8,18,26,38,39,4,12
2023-09-15,3,8,10,31,36,2,3
2023-09-12,5,13,43,45,50,1,10
2023-09-08,21,29,31,46,49,5,6
2023-09-05,9,11,13,15,25,4,9
2023-09-01,1,13,16,23,27,10,11
2023-08-29,14,18,20,39,42,6,9
2023-08-25,2,5,11,27,38,10,12
2023-08-22,8,40,41,46,47,3,11
2023-08-18,2,16,22,28,46,4,8
2023-08-15,12,21,23,26,41,5,6
2023-08-11,1,35,36,38,39,3,10
2023-08-08,6,12,25,31,37,6,9
2023-08-04,3,17,19,32,38,6,7
2023-08-01,2,9,38,40,44,5,11
2023-07-28,10,16,34,36,49,3,7
2023-07-25,3,9,11,20,39,2,3
2023-07-21,7,16,22,38,41,5,9
2023-07-18,14,16,24,40,43,1,5
2023-07-14,2,4,12,31,50,6,8
2023-07-11,11,15,17,24,46,2,11
2023-07-07,9,18,20,40,41,3,9
2023-07-04,19,21,23,36,39,5,12
2023-06-30,3,14,23,41,43,2,6
2023-06-27,7,10,13,34,47,5,9
2023-06-23,2,3,18,23,39,6,8
2023-06-20,9,18,30,34,48,1,7
2023-06-16,5,19,33,36,42,7,12
2023-06-13,11,29,32,46,47,5,7
2023-06-09,8,13,24,35,46,6,8
2023-06-06,5,7,21,22,29,3,10
2023-06-02,8,9,11,13,50,6,11
2023-05-30,2,8,16,21,39,4,5
2023-05-26,1,3,29,45,47,5,8
2023-05-23,1,2,11,14,36,2,3
2023-05-19,1,5,8,20,35,3,12
2023-05-16,28,30,31,45,46,4,8
2023-05-12,10,27,30,32,34,5,8
2023-05-09,6,11,29,34,39,2,3
2023-05-05,17,18,30,33,35,6,8
2023-05-02,11,12,13,23,26,11,12
2023-04-28,4,8,9,30,35,6,7
2023-04-25,12,21,24,28,40,1,3
2023-04-21,5,13,16,41,45,3,6
2023-04-18,16,28,31,35,42,2,10
2023-04-14,7,11,20,21,29,6,11
2023-04-11,5,19,33,37,42,7,9
2023-04-07,16,28,32,36,48,5,10
2023-04-04,1,15,19,24,33,7,8
2023-03-31,10,11,31,37,44,5,12
2023-03-28,6,12,36,37,44,1,11
2023-03-24,6,21,23,26,43,3,9
2023-03-21,8,13,16,44,47,6,8
2023-03-17,5,18,21,29,45,1,6
2023-03-14,9,16,32,34,48,2,6
2023-03-10,6,17,22,39,46,5,12
2023-03-07,4,11,12,16,42,3,5
2023-03-03,1,18,37,46,48,3,7
2023-02-28,6,20,27,38,49,3,9
2023-02-24,1,5,12,18,20,6,7
2023-02-21,13,20,34,38,43,3,6
2023-02-17,5,12,15,21,39,3,4
2023-02-14,1,2,6,14,45,2,7
2023-02-10,3,10,20,36,42,8,10
2023-02-07,10,15,25,37,46,7,12
2023-02-03,1,7,17,44,50,2,10
2023-01-31,20,21,30,41,43,10,11
2023-01-27,4,9,29,34,37,3,12
2023-01-24,9,16,17,27,31,1,9
2023-01-20,1,12,15,31,47,9,10
2023-01-17,6,11,16,35,44,2,6
2023-01-13,7,14,34,41,49,4,9
2023-01-10,9,16,27,41,45,1,4
2023-01-06,14,28,31,47,50,7,12
2023-01-03,28,29,31,37,50,4,5
2022-12-30,3,37,45,47,50,5,10
2022-12-27,28,33,34,37,44,4,11
2022-12-23,9,34,35,42,44,6,11
2022-12-20,6,11,26,43,49,5,8
2022-12-16,9,14,15,20,47,8,12
2022-12-13,3,13,33,36,47,3,11
2022-12-09,6,8,13,21,32,3,6
2022-12-06,8,12,37,44,47,7,10
2022-12-02,6,12,25,48,49,11,12
2022-11-29,9,16,32,37,46,7,12
2022-11-25,4,6,8,42,48,6,11
2022-11-22,11,20,23,37,46,9,11
2022-11-18,13,14,25,28,42,11,12
2022-11-15,1,7,11,33,48,9,12
2022-11-11,11,15,24,28,41,3,12
2022-11-08,15,17,23,35,38,4,9
2022-11-04,7,9,40,48,49,7,8
2022-11-01,18,32,39,42,44,4,7
2022-10-28,4,5,21,30,43,5,11
2022-10-25,17,26,35,37,39,3,4
2022-10-21,2,11,18,47,49,2,7
2022-10-18,13,18,24,34,50,5,6
2022-10-14,3,5,8,10,44,7,12
2022-10-11,7,35,36,39,47,3,8
2022-10-07,16,17,26,30,35,3,9
2022-10-04,17,42,43,48,49,3,7
2022-09-30,8,12,15,17,46,1,8
